Email_ID,Sender_Email,Subject,Email_Length,Num_Links,Num_Special_Chars,Capital_Words,Has_Attachment,Spam
1, ,Meeting,,99,-1,7,0,0
2,user1@outlook.com,Security Alert,87,2,3,8,0,0
3,user2@yahoo.com,Win Prize,69,0,3,8,0,0
4,user3@gmail.com,Invoice,61,0,3,8,0,0
5,user4@company.com,Meeting,99,2,3,5,0,0
6,user5@gmail.com,Invoice,52,5,1,8,1,0
7,user6@yahoo.com,Security Alert,186,5,14,10,0,1
8,user7@gmail.com,Security Alert,221,8,17,43,1,1
9,user8@company.com,Security Alert,154,7,9,38,0,1
10,user9@company.com,Offer,78,1,4,2,0,0
11,user10@gmail.com,Win Prize,192,8,12,51,0,1
12,user11@company.com,Project Update,108,0,3,7,1,0
13,user12@outlook.com,Win Prize,127,0,4,0,1,0
14,user13@yahoo.com,Project Update,84,2,4,5,0,0
15,user14@gmail.com,Invoice,60,1,3,0,0,0
16,user15@company.com,Invoice,99,2,3,6,0,0
17,user16@outlook.com,Project Update,95,0,1,6,0,0
18,user17@outlook.com,Meeting,75,0,3,0,0,0
19,user18@company.com,Invoice,186,7,16,24,1,1
20,user19@company.com,Invoice,99,0,4,0,0,0
21,user20@outlook.com,Project Update,113,1,3,5,1,0
22,user21@yahoo.com,Invoice,61,2,4,3,0,0
23,user22@gmail.com,Security Alert,76,3,3,8,0,0
24,user23@outlook.com,Invoice,198,4,12,25,1,1
25,user24@yahoo.com,Invoice,56,0,8,2,0,0
26,user25@company.com,Offer,114,0,1,8,0,0
27,user26@company.com,Project Update,183,2,15,7,1,1
28,user27@yahoo.com,Project Update,83,1,1,2,0,0
29,user28@outlook.com,Security Alert,180,4,19,52,0,1
30,user29@outlook.com,Invoice,191,3,22,38,1,1
31,user30@yahoo.com,Security Alert,50,0,1,0,0,0
32,user31@yahoo.com,Greetings,185,1,13,36,0,1
33,user32@company.com,Offer,68,1,3,7,1,0
34,user33@yahoo.com,Project Update,183,10,11,11,0,1
35,user34@gmail.com,Security Alert,87,0,2,1,0,0
36,user35@gmail.com,Project Update,64,1,1,8,1,0
37,user36@company.com,Offer,93,2,5,6,0,0
38,user37@gmail.com,Security Alert,62,3,2,8,1,0
39,user38@outlook.com,Security Alert,82,1,1,8,0,0
40,user39@company.com,Account Verification,86,2,4,1,1,0
41,user40@company.com,Win Prize,82,1,3,4,0,0
42,user41@outlook.com,Win Prize,82,2,5,6,0,0
43,user42@yahoo.com,Offer,179,1,7,40,1,1
44,user43@company.com,Account Verification,54,0,2,0,0,0
45,user44@outlook.com,Security Alert,185,6,16,15,1,1
46,user45@yahoo.com,Greetings,180,3,13,35,0,1
47,user46@gmail.com,Meeting,61,3,3,2,1,0
48,user47@gmail.com,Win Prize,183,6,13,31,1,1
49,user48@yahoo.com,Account Verification,64,2,0,0,0,0
50,user49@gmail.com,Account Verification,115,2,5,8,0,0
51,user50@company.com,Greetings,145,5,18,11,1,1
